model,layer,issue,severity,confidence,visibility,source_files,recommended_action
data_quality,V1六表事实层,正式班级配额合计为 `1022`，正式 14 班明细人数为 `1021`；两者相差 `1`。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`602期63班` 配额 `80`，明细 `79`，差异 `1`。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,后台名单中存在非正式 14 班记录 `82` 条，第一版默认不纳入正式经营盘。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`602期101班`：79 条。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`602期171班`：2 条。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`602期55班`：1 条。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,进阶表支付完成总额 `346300`，正式 14 班营收 `333800`；非正式班级金额 `12500` 需单列。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`测试102班`：3 单，金额 4470。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`601期179班`：1 单，金额 1490。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`(空白)`：1 单，金额 6540。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,`200订金订单` sheet 的 Excel 使用区域被记录为百万行级，不能按 `max_row` 直接全量读取；需要识别真实非空区域。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,三场直播明细中存在原始班级为 `#N/A` 或空的记录；本快照已尝试用 `unionId` 桥接回填。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,原始班级缺失/异常 `347` 条；已回填 `88` 条；仍未回填 `259` 条。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,D1/D2 日报表中带班学员配额为 1022，D3-D10 多处为 1021；趋势看板必须保留每日分母字段。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
data_quality,V1六表事实层,测评字段的完成取值需要确认，不能简单用非空判断完成。,medium,high,internal_only,data_quality_issues.md,页面展示前必须保留口径说明；高风险项不要进入对外KPI卡。
